,Pandoro,GarlicPastry,AlmondCroissant,PainAuChocolat,ChocoDippedCroissant,FruitCreamCroissant,Croissant,PlainBread,RedBeanBun
7/11/19,0,0,0,0,0,4,0,0,2
7/12/19,0,0,0,0,0,14,0,0,0
7/13/19,0,0,0,0,2,5,0,3,8
7/14/19,0,0,0,0,4,9,0,0,15
7/15/19,0,0,0,0,1,1,0,0,3
7/17/19,0,0,0,1,0,1,1,2,6
7/19/19,0,0,0,3,0,7,22,0,11
7/20/19,1,0,0,7,0,3,5,0,13
7/21/19,0,0,1,3,0,2,7,4,11
7/22/19,1,0,0,4,0,2,5,0,15
7/24/19,0,0,2,1,0,3,1,5,17
7/25/19,4,0,6,5,0,2,4,1,16
7/26/19,8,0,7,8,0,4,15,10,27
7/27/19,3,0,0,4,0,1,6,7,10
7/28/19,3,0,0,3,0,3,4,3,8
7/29/19,3,0,3,4,0,2,7,1,11
7/31/19,4,0,1,4,0,2,3,4,14
8/1/19,4,0,0,7,0,4,9,5,13
8/2/19,1,0,0,1,0,3,0,3,21
8/3/19,0,0,3,4,0,0,8,5,27
8/4/19,1,0,1,5,0,2,6,7,13
8/5/19,3,0,2,6,0,4,5,6,15
8/7/19,0,0,0,4,0,2,7,5,13
8/8/19,4,0,0,3,0,4,5,6,18
8/9/19,0,0,0,1,0,0,5,0,13
8/10/19,6,0,2,7,0,6,5,3,25
8/11/19,6,0,2,9,0,3,4,4,19
8/12/19,2,0,2,4,0,1,7,4,17
8/14/19,4,0,4,4,1,1,10,5,19
8/15/19,0,0,0,1,0,2,18,3,13
8/16/19,1,0,1,1,1,1,1,1,7
8/17/19,2,0,1,4,1,6,3,6,14
8/18/19,7,0,4,6,3,4,10,2,16
8/19/19,5,0,3,2,2,7,2,6,14
8/21/19,3,0,2,4,0,2,8,6,18
8/22/19,3,0,1,4,1,4,4,0,14
8/23/19,1,0,1,2,1,0,5,3,15
8/24/19,1,0,2,3,2,2,11,7,16
8/25/19,1,0,1,5,1,3,2,2,19
8/26/19,3,0,1,1,4,6,2,1,9
8/28/19,3,0,1,3,0,3,5,2,13
8/29/19,2,0,3,2,1,1,5,5,18
8/30/19,1,0,1,4,0,3,2,3,22
8/31/19,0,0,0,4,0,3,2,5,9
9/1/19,2,0,2,7,4,1,3,4,16
9/2/19,5,0,4,0,2,3,2,0,6
9/4/19,1,0,0,6,3,5,9,5,14
9/5/19,0,0,0,3,2,3,1,5,27
9/6/19,1,0,2,2,1,2,4,1,10
9/7/19,2,0,3,0,2,4,5,9,17
9/8/19,0,0,1,1,0,2,2,1,6
9/9/19,3,0,0,3,3,2,6,5,17
9/11/19,1,0,0,2,3,2,2,2,22
9/12/19,0,0,1,2,5,2,4,2,14
9/14/19,3,0,1,2,2,4,5,1,8
9/15/19,3,0,1,4,1,5,8,6,19
9/18/19,2,0,0,6,5,2,1,1,6
9/19/19,2,0,2,3,4,6,2,4,23
9/20/19,1,0,0,2,0,6,4,4,19
9/21/19,5,0,2,5,5,5,8,3,16
9/22/19,1,0,3,8,1,4,16,7,17
9/23/19,0,0,0,5,2,4,5,2,10
9/25/19,0,0,2,3,1,2,2,3,12
9/26/19,0,0,0,0,0,0,1,1,2
9/27/19,0,0,0,2,0,1,3,2,13
9/28/19,2,0,0,5,2,5,7,6,19
9/29/19,1,0,1,8,3,4,8,1,17
9/30/19,0,0,0,0,1,2,5,4,7
10/2/19,1,0,0,3,1,1,4,5,1
10/3/19,3,0,2,5,2,7,3,7,17
10/4/19,2,0,0,1,0,0,0,0,5
10/5/19,0,0,2,1,1,3,1,0,6
10/6/19,0,0,0,3,1,1,3,5,6
10/7/19,1,0,0,0,1,3,0,2,10
10/9/19,0,0,0,0,2,1,1,0,3
10/10/19,0,0,0,1,0,7,3,1,15
10/11/19,1,0,2,1,0,2,2,3,5
10/12/19,0,0,0,3,2,2,3,1,12
10/13/19,2,0,3,1,3,3,5,9,8
10/14/19,2,0,2,6,1,4,5,1,10
10/16/19,3,0,2,6,0,2,1,2,8
10/17/19,0,0,2,4,1,3,5,5,11
10/18/19,1,0,1,1,0,0,3,1,9
10/19/19,2,0,2,6,2,4,5,4,9
10/20/19,0,0,0,6,0,1,9,4,21
10/21/19,3,0,2,5,0,9,5,5,27
10/23/19,0,0,1,3,3,1,1,1,4
10/24/19,2,0,0,7,3,5,5,2,12
10/25/19,2,0,1,2,1,1,5,1,6
10/26/19,1,0,0,1,0,4,3,4,11
10/27/19,1,0,0,4,4,2,7,2,17
10/28/19,3,0,2,5,2,2,9,5,12
10/31/19,0,0,2,5,0,0,4,1,4
11/1/19,2,0,0,3,1,2,4,3,5
11/2/19,0,0,0,4,1,3,7,3,15
11/3/19,1,0,0,5,1,3,0,7,15
11/4/19,0,0,0,1,2,1,3,7,2
11/6/19,1,0,4,2,0,1,3,2,7
11/7/19,1,0,0,1,1,1,7,5,10
11/8/19,0,0,1,4,3,3,3,5,16
11/9/19,4,0,1,4,2,7,3,6,19
11/10/19,2,0,1,4,2,7,1,5,26
11/11/19,2,0,0,0,1,3,0,7,8
11/13/19,1,0,1,1,0,5,1,4,10
11/14/19,0,0,0,0,0,1,2,1,5
11/15/19,6,0,0,3,0,2,8,6,9
11/16/19,1,0,0,1,3,1,3,5,12
11/17/19,3,0,0,2,1,4,8,9,22
11/18/19,0,0,0,2,1,4,2,3,4
11/20/19,1,0,0,1,1,2,3,7,6
11/21/19,0,0,0,0,0,0,4,0,7
11/22/19,1,0,0,0,0,0,4,2,5
11/23/19,0,0,0,2,2,6,7,3,10
11/24/19,1,0,2,1,4,3,1,7,16
11/25/19,0,0,2,8,1,2,7,1,6
11/27/19,0,0,0,4,0,2,2,4,9
11/28/19,2,0,0,2,1,4,2,5,13
11/29/19,3,0,2,4,3,4,4,3,11
11/30/19,3,0,1,3,1,7,3,6,20
12/1/19,2,0,0,5,1,7,5,6,18
12/2/19,1,0,0,3,0,2,3,1,6
12/4/19,2,0,3,1,3,1,3,5,16
12/5/19,2,0,0,4,1,7,5,3,17
12/6/19,1,0,1,2,2,2,5,4,14
12/7/19,0,0,1,4,2,4,3,4,12
12/8/19,4,0,5,0,4,11,3,11,27
12/9/19,0,0,0,1,2,7,2,0,10
12/11/19,0,0,2,6,0,3,7,11,6
12/12/19,0,0,0,2,1,6,1,5,14
12/13/19,0,0,0,1,0,0,2,2,8
12/14/19,0,0,0,1,0,7,2,4,11
12/15/19,0,0,1,1,5,2,1,0,15
12/16/19,0,0,0,2,1,5,1,1,11
12/18/19,2,0,0,4,1,2,2,3,16
12/19/19,1,0,0,5,1,4,5,5,11
12/20/19,0,0,2,0,0,3,2,4,8
12/21/19,0,0,1,5,3,3,6,1,8
12/22/19,2,0,0,2,0,6,7,8,10
12/23/19,0,0,1,2,3,2,2,1,8
12/24/19,0,0,0,0,0,2,0,0,4
12/25/19,0,0,0,0,0,3,4,5,5
12/26/19,0,0,0,0,1,4,1,1,4
12/27/19,0,0,0,2,0,2,1,1,2
12/28/19,4,0,2,4,5,9,12,7,23
12/29/19,2,0,1,4,3,5,0,6,14
12/30/19,2,0,2,6,0,8,4,2,16
1/2/20,2,0,1,3,1,4,3,5,18
1/3/20,5,0,1,1,0,6,4,4,12
1/4/20,0,0,0,1,1,1,0,1,9
1/5/20,0,0,1,2,3,3,3,5,20
1/6/20,1,0,0,3,0,3,7,2,4
1/8/20,0,0,0,1,1,4,4,3,28
1/9/20,5,0,0,2,0,6,2,9,20
1/10/20,0,0,0,2,3,3,1,1,10
1/11/20,3,0,0,1,0,9,3,0,10
1/12/20,3,0,1,4,5,1,5,9,19
1/13/20,2,0,1,2,1,2,3,2,6
1/15/20,5,0,2,4,3,12,4,5,15
1/16/20,0,0,0,0,0,0,1,2,2
1/17/20,1,0,0,1,1,0,3,3,7
1/18/20,0,0,1,1,2,5,5,6,9
1/19/20,4,0,2,2,7,8,1,8,21
1/20/20,1,0,0,1,0,3,7,0,3
1/22/20,1,0,0,2,0,2,4,4,7
1/23/20,5,0,0,3,1,6,1,7,29
1/24/20,0,0,0,2,0,2,0,1,3
1/26/20,1,0,1,1,2,3,6,4,8
1/27/20,3,0,0,2,4,4,4,0,9
1/29/20,1,0,1,0,1,3,0,3,7
1/30/20,0,0,1,3,3,4,8,5,15
1/31/20,2,0,3,2,0,5,0,8,9
2/1/20,0,0,0,4,2,4,2,3,13
2/2/20,5,0,1,3,1,6,9,13,21
2/3/20,1,0,0,0,0,2,2,0,12
2/5/20,3,0,2,2,1,7,2,6,21
2/6/20,1,0,2,1,1,4,6,4,15
2/7/20,3,0,3,4,1,1,4,8,13
2/8/20,3,0,0,6,2,3,5,8,16
2/9/20,4,0,1,2,2,3,3,11,20
2/10/20,0,0,1,3,1,2,1,1,2
2/12/20,2,0,2,6,5,9,7,2,21
2/13/20,0,0,2,2,0,2,1,0,6
2/14/20,8,0,1,7,0,4,3,0,17
2/15/20,2,0,1,3,2,3,8,6,9
2/16/20,2,0,0,3,1,3,10,12,19
2/17/20,0,0,4,2,3,5,4,0,9
2/19/20,0,0,2,4,1,3,7,5,15
2/20/20,2,0,1,1,0,9,5,5,19
2/21/20,0,0,2,0,2,1,7,6,6
2/22/20,5,0,0,6,3,7,7,7,23
2/23/20,6,0,0,6,3,14,15,15,29
2/24/20,1,0,0,2,1,3,6,0,16
2/26/20,2,0,3,3,6,5,5,7,22
2/27/20,0,0,0,3,1,6,3,4,12
2/28/20,1,0,2,2,5,3,3,8,19
2/29/20,4,0,3,4,2,2,3,6,16
3/1/20,3,0,2,2,4,8,4,8,18
3/2/20,2,0,0,3,0,7,7,12,15
3/5/20,1,0,2,4,5,9,5,11,31
3/6/20,2,0,0,3,2,4,10,8,17
3/7/20,5,0,0,2,4,6,4,9,14
3/8/20,1,0,3,3,4,6,4,12,21
3/9/20,3,0,0,3,1,5,1,5,6
3/11/20,5,0,1,3,1,2,6,7,14
3/12/20,1,0,0,5,0,7,3,7,17
3/13/20,0,0,0,2,0,7,6,2,16
3/14/20,3,0,1,3,2,6,1,6,10
3/15/20,2,0,2,5,5,6,5,7,11
3/16/20,0,0,0,5,0,6,8,11,18
3/18/20,1,0,3,5,2,4,7,9,22
3/19/20,0,0,2,1,0,3,2,6,10
3/20/20,0,0,0,4,1,0,5,4,7
3/21/20,2,0,0,5,3,6,9,11,27
3/22/20,0,0,2,3,0,3,2,4,24
3/23/20,3,0,0,4,2,7,2,6,14
3/25/20,1,0,0,4,2,5,3,3,16
3/26/20,1,0,0,6,3,4,3,4,17
3/27/20,0,0,0,4,5,5,4,5,10
3/28/20,2,0,1,3,2,6,5,4,10
3/29/20,1,0,1,4,1,6,9,7,21
3/30/20,1,0,1,5,2,4,5,4,17
4/1/20,1,0,1,5,1,5,2,3,16
4/2/20,1,0,1,5,0,7,5,6,28
4/3/20,2,0,0,0,3,3,4,6,9
4/4/20,2,0,0,1,0,3,8,2,10
4/5/20,2,0,1,3,4,4,3,7,14
4/6/20,0,0,0,2,0,3,2,5,9
4/8/20,0,0,0,1,2,7,8,4,17
4/9/20,1,0,0,0,2,4,5,4,10
4/10/20,1,0,0,2,4,5,3,4,6
4/11/20,3,0,1,1,3,7,2,1,3
4/12/20,2,0,1,4,4,4,2,4,16
4/13/20,1,0,0,0,0,1,1,0,1
4/15/20,1,0,1,3,2,2,2,3,16
4/16/20,1,0,1,0,1,1,0,3,6
4/17/20,0,0,1,0,0,4,3,4,11
4/18/20,1,0,0,3,2,7,6,5,15
4/19/20,0,0,0,1,3,2,0,2,15
4/20/20,0,0,0,6,0,4,8,3,12
4/22/20,3,0,1,8,2,5,5,3,19
4/23/20,4,0,1,8,1,3,3,4,7
4/24/20,1,0,3,0,3,6,1,3,8
4/25/20,8,0,2,4,2,6,6,6,18
4/26/20,1,0,1,3,1,4,9,6,20
4/27/20,0,0,0,6,6,8,8,7,11
4/29/20,1,0,0,1,0,4,2,7,7
4/30/20,1,0,1,2,2,4,1,3,7
5/1/20,0,0,2,3,1,6,5,4,15
5/2/20,0,0,0,2,1,3,1,1,4